Configuration,distance,transmitters,ber
Configuration.baseline,200,1,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.875
Configuration.baseline,200,3,0.96875
Configuration.baseline,200,3,1.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,1.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,0,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.5
Configuration.baseline,200,1,0.0
Configuration.baseline,200,2,0.5
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,1.0
Configuration.baseline,200,2,0.0
Configuration.baseline,200,2,0.5
Configuration.baseline,200,3,0.5
Configuration.baseline,200,3,0.0625
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.0
Configuration.baseline,200,3,0.125
Configuration.baseline,200,1,0.875
Configuration.baseline,200,0,0.875
Configuration.baseline,200,0,0.875
Configuration.baseline,200,0,0.875
Configuration.baseline,200,0,0.875
Configuration.baseline,200,0,0.875
Configuration.baseline,200,1,0.0
Configuration.baseline,200,1,0.78125
Configuration.baseline,200,1,1.0
Configuration.baseline,200,1,0.15625
Configuration.baseline,200,1,0.875
Configuration.baseline,200,2,0.875
Configuration.baseline,200,2,0.5
Configuration.baseline,200,2,0.75
Configuration.baseline,200,2,0.375
Configuration.baseline,200,2,0.875
Configuration.baseline,200,3,0.5
Configuration.baseline,200,3,0.9375
Configuration.baseline,200,3,0.0625
Configuration.baseline,200,3,0.4375
