Configuration,distance,transmitters,ber
Configuration.baseline,50,1,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,0,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,1,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,2,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
Configuration.baseline,50,3,0.0
