configuration,offset,Ts,cycles,transmitters,ber
dynamic,0.0,0.001,1.4231242586847,1.0,0.5625
dynamic,0.0,0.001,1.4231242586847,1.0,0.4375
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.40625
dynamic,0.0,0.001,1.4231242586847,1.0,0.15625
dynamic,0.0,0.001,1.4231242586847,1.0,0.03125
dynamic,0.0,0.001,1.4231242586847,1.0,0.53125
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.3125
dynamic,0.0,0.001,1.4231242586847,1.0,0.6875
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.5
dynamic,0.0,0.001,1.4231242586847,1.0,0.71875
dynamic,0.0,0.002,2.8462485173694,1.0,0.96875
dynamic,0.0,0.002,2.8462485173694,1.0,0.28125
dynamic,0.0,0.002,2.8462485173694,1.0,0.375
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.5625
dynamic,0.0,0.002,2.8462485173694,1.0,0.625
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.625
dynamic,0.0,0.002,2.8462485173694,1.0,0.25
dynamic,0.0,0.002,2.8462485173694,1.0,0.09375
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.0
dynamic,0.0,0.002,2.8462485173694,1.0,0.96875
dynamic,0.0,0.003,4.2693727760541,1.0,0.0625
dynamic,0.0,0.003,4.2693727760541,1.0,0.0625
dynamic,0.0,0.003,4.2693727760541,1.0,0.3125
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.34375
dynamic,0.0,0.003,4.2693727760541,1.0,0.4375
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.0625
dynamic,0.0,0.003,4.2693727760541,1.0,0.3125
dynamic,0.0,0.003,4.2693727760541,1.0,0.34375
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.0
dynamic,0.0,0.003,4.2693727760541,1.0,0.09375
dynamic,0.0,0.003,4.2693727760541,1.0,0.1875
dynamic,0.0,0.004,5.6924970347388,1.0,0.03125
dynamic,0.0,0.004,5.6924970347388,1.0,0.46875
dynamic,0.0,0.004,5.6924970347388,1.0,0.90625
dynamic,0.0,0.004,5.6924970347388,1.0,1.0
dynamic,0.0,0.004,5.6924970347388,1.0,0.0
dynamic,0.0,0.004,5.6924970347388,1.0,0.125
dynamic,0.0,0.004,5.6924970347388,1.0,0.0
dynamic,0.0,0.004,5.6924970347388,1.0,0.5
dynamic,0.0,0.004,5.6924970347388,1.0,0.125
dynamic,0.0,0.004,5.6924970347388,1.0,0.09375
dynamic,0.0,0.004,5.6924970347388,1.0,0.875
dynamic,0.0,0.004,5.6924970347388,1.0,0.875
dynamic,0.0,0.004,5.6924970347388,1.0,0.875
dynamic,0.0,0.004,5.6924970347388,1.0,0.125
dynamic,0.0,0.004,5.6924970347388,1.0,0.0
dynamic,0.0,0.004,5.6924970347388,1.0,0.53125
dynamic,0.0,0.004,5.6924970347388,1.0,0.96875
dynamic,0.0,0.005,7.1156212934235,1.0,0.03125
