Configuration,distance,transmitters,ber
Configuration.baseline,250,1,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.4230769230769231
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.11538461538461539
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.038461538461538464
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.38461538461538464
Configuration.baseline,250,3,0.38461538461538464
Configuration.baseline,250,3,0.46153846153846156
Configuration.baseline,250,3,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.11538461538461539
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.38461538461538464
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.19230769230769232
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.5
Configuration.baseline,250,1,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.07692307692307693
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.46153846153846156
Configuration.baseline,250,2,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.5
Configuration.baseline,250,1,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,2,0.038461538461538464
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.46153846153846156
Configuration.baseline,250,2,0.38461538461538464
Configuration.baseline,250,3,0.5
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.2692307692307692
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,1,0.038461538461538464
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.3076923076923077
Configuration.baseline,250,3,0.4230769230769231
Configuration.baseline,250,3,0.4230769230769231
Configuration.baseline,250,3,0.0
Configuration.baseline,250,3,0.46153846153846156
Configuration.baseline,250,3,0.5
Configuration.baseline,250,1,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,0,0.0
Configuration.baseline,250,1,0.5
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.0
Configuration.baseline,250,1,0.5
Configuration.baseline,250,2,0.5
Configuration.baseline,250,2,0.038461538461538464
Configuration.baseline,250,2,0.5
Configuration.baseline,250,2,0.0
Configuration.baseline,250,2,0.19230769230769232
Configuration.baseline,250,3,0.038461538461538464
Configuration.baseline,250,3,0.038461538461538464
