Configuration,distance,transmitters,ber
Configuration.baseline,100,1,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.03125
Configuration.baseline,100,3,0.40625
Configuration.baseline,100,3,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,2,0.21875
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,3,0.5
Configuration.baseline,100,3,1.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.96875
Configuration.baseline,100,3,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,2,0.53125
Configuration.baseline,100,2,0.03125
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0
Configuration.baseline,100,3,0.90625
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.0625
Configuration.baseline,100,3,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,2,0.03125
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,0.0625
Configuration.baseline,100,2,0.0
Configuration.baseline,100,2,1.0
Configuration.baseline,100,3,0.5
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,3,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,0,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
Configuration.baseline,100,1,0.0
