Configuration,snr,ber
Configuration.balanced,-11.0,0.0
Configuration.balanced,-13.0,0.0
Configuration.balanced,-15.0,0.0
Configuration.balanced,-17.0,0.0
Configuration.balanced,-19.0,0.0
Configuration.balanced,-1.0,0.0
Configuration.balanced,-21.0,0.0
Configuration.balanced,-23.0,0.0
Configuration.balanced,-25.0,0.028846153846153848
Configuration.balanced,-27.0,0.0
Configuration.balanced,-29.0,0.0
Configuration.balanced,-31.0,0.0
Configuration.balanced,-33.0,0.0
Configuration.balanced,-35.0,0.49038461538461536
Configuration.balanced,-37.0,0.5192307692307693
Configuration.balanced,-39.0,0.5
Configuration.balanced,-3.0,0.0
Configuration.balanced,-41.0,0.5096153846153846
Configuration.balanced,-43.0,0.3942307692307692
Configuration.balanced,-45.0,0.5288461538461539
Configuration.balanced,-5.0,0.0
Configuration.balanced,-7.0,0.0
Configuration.balanced,-9.0,0.0
Configuration.balanced,-11.0,0.0
Configuration.balanced,-13.0,0.0
Configuration.balanced,-15.0,0.0
Configuration.balanced,-17.0,0.0
Configuration.balanced,-19.0,0.0
Configuration.balanced,-1.0,0.0
Configuration.balanced,-21.0,0.0
Configuration.balanced,-23.0,0.0
Configuration.balanced,-25.0,0.0
Configuration.balanced,-27.0,0.0
Configuration.balanced,-29.0,0.009615384615384616
Configuration.balanced,-31.0,0.009615384615384616
Configuration.balanced,-33.0,0.0
Configuration.balanced,-35.0,0.0
Configuration.balanced,-37.0,0.057692307692307696
Configuration.balanced,-39.0,0.40384615384615385
Configuration.balanced,-3.0,0.0
Configuration.balanced,-41.0,0.5961538461538461
Configuration.balanced,-43.0,0.5961538461538461
Configuration.balanced,-45.0,0.5096153846153846
Configuration.balanced,-5.0,0.0
Configuration.balanced,-7.0,0.0
Configuration.balanced,-9.0,0.0
Configuration.balanced,-11.0,0.0
Configuration.balanced,-13.0,0.0
Configuration.balanced,-15.0,0.0
Configuration.balanced,-17.0,0.0
Configuration.balanced,-19.0,0.0
Configuration.balanced,-1.0,0.0
Configuration.balanced,-21.0,0.0
Configuration.balanced,-23.0,0.0
Configuration.balanced,-25.0,0.0
Configuration.balanced,-27.0,0.009615384615384616
Configuration.balanced,-29.0,0.0
Configuration.balanced,-31.0,0.0
Configuration.balanced,-33.0,0.0
Configuration.balanced,-35.0,0.019230769230769232
Configuration.balanced,-37.0,0.5096153846153846
Configuration.balanced,-39.0,0.27884615384615385
Configuration.balanced,-3.0,0.0
Configuration.balanced,-41.0,0.1346153846153846
Configuration.balanced,-43.0,0.4230769230769231
Configuration.balanced,-45.0,0.4423076923076923
Configuration.balanced,-5.0,0.0
Configuration.balanced,-7.0,0.0
Configuration.balanced,-9.0,0.0
Configuration.balanced,-11.0,0.0
Configuration.balanced,-13.0,0.0
Configuration.balanced,-15.0,0.0
Configuration.balanced,-17.0,0.0
Configuration.balanced,-19.0,0.0
Configuration.balanced,-1.0,0.0
Configuration.balanced,-21.0,0.0
Configuration.balanced,-23.0,0.0
Configuration.balanced,-25.0,0.0
Configuration.balanced,-27.0,0.0
Configuration.balanced,-29.0,0.0
Configuration.balanced,-31.0,0.0
Configuration.balanced,-33.0,0.0
Configuration.balanced,-35.0,0.0
Configuration.balanced,-37.0,0.009615384615384616
Configuration.balanced,-39.0,0.4423076923076923
Configuration.balanced,-3.0,0.0
Configuration.balanced,-41.0,0.5384615384615384
Configuration.balanced,-43.0,0.5
Configuration.balanced,-45.0,0.34615384615384615
Configuration.balanced,-5.0,0.0
Configuration.balanced,-7.0,0.0
Configuration.balanced,-9.0,0.0
Configuration.balanced,-11.0,0.0
Configuration.balanced,-13.0,0.0
Configuration.balanced,-15.0,0.0
Configuration.balanced,-17.0,0.0
Configuration.balanced,-19.0,0.0
Configuration.balanced,-1.0,0.0
Configuration.balanced,-21.0,0.0
Configuration.balanced,-23.0,0.0
Configuration.balanced,-25.0,0.0
Configuration.balanced,-27.0,0.0
Configuration.balanced,-29.0,0.0
Configuration.balanced,-31.0,0.5288461538461539
